,abstract,Tags
0,"crawl the flickr photo-sharing social network may 2006 returning graph 820,878 node 9,837,214 edge . dataset distributed a smat file readme file code read file python matlab .","communication , computer science"
1,"data several study the influence phosphorus potassium nutrition alfalfa . includes numeric data a yield , plant mass , plant count , tissue concentration various nutrient","agronomy , crop science , forage legume , nutritive value , soil fertility , soil science , winter hardiness , yield component"
2,"data several study the influence phosphorus potassium nutrition alfalfa . includes numeric data a yield , plant mass , plant count , tissue concentration various nutrient","agronomy , crop science , forage legume , nutritive value , soil fertility , soil science , winter hardiness , yield component"
3,"dissertation the cost utility network measurement infrastructure , including mechanism admission control , identifying measurement pattern will benefit inference , selecting vantage point wide-scale measurement .","computer science , inference , internet"
4,supplemental datasets used evaluation function prediction moonlighting protein .,"biochemistry , bioinformatics , molecular bioscience , proteomics"
5,supplementary material the paper : functional similarity network high confidence protein function prediction pfp . bmc bioinformatics . 2010 may 19 ; 11:265. doi : 10.1186/1471-2105-11-265 .,"biochemistry , bioinformatics , computational biology / method , genetic , molecular bioscience , protein / metabolism"
6,"supplementary material the paper : threading without optimizing weighting factor the scoring function protein , revision ( 2008 ) . protein . 2008 nov 15 ; 73 ( 3 ) :581-96. doi : 10.1002/prot.22082 .","algorithm , biochemistry , bioinformatics , database , molecular bioscience , protein , protein / chemistry"
7,supplemental material the paper : comparative genomics small rna bacterial genome . omics . 2007 spring ; 11 ( 1 ) :58-73 .,"bacterial , bacterial/genetics , biochemistry , bioinformatics , deinococcus/genetics , escherichiacoli/metabolism , molecular bioscience , multigene family , rna"
8,supplementary material the paper : characterization local geometry protein surface the visibility criterion . protein . 2008 may 1 ; 71 ( 2 ) :670-83 .,"argininosuccinate synthase , binding site , biochemistry , bioinformatics , computer simulation , molecular bioscience , protein structure , sensitivity specificity , tertiary , tetrahydrofolate dehydrogenase/chemistry"
9,"supplementary material the paper : limitation potential current motif discovery algorithm , nucleic acid re . 2005 ; 33 ( 15 ) : 4899–4913","algorithm , base sequence , binding site , biochemistry , bioinformatics , computational biology / method , dna/chemistry , dna/methods , escherichia coli/genetics , factors/metabolism , markov chain , markov chain regulatory sequence , molecular bioscience , regulon , sequence alignment , sequence analysis"
10,includes description infosead protocol an example how document be analyzed using the protocol .,"assessment , education , information literacy , library science"
