publication_version_id,publication_id,doi,title,abstract,Tags,Authors,,
5,1002,10.4231/D39P2W550,Graph of Flickr Photo-Sharing Social Network Crawled in May 2006,"Crawl of the Flickr photo-sharing social network from May 2006 returning a graph with 820,878 nodes and 
9,837,214 edges. Dataset is distributed as a SMAT file with README file with code to read file in Python and MATLAB.","communication, computer science",David F Gleich,,
6,1004,10.4231/D3251FJ7S,Phosphorus and Potassium Influence on Alfalfa Nutrition,"Data from several studies on the influence of phosphorus and potassium nutrition on alfalfa. It includes numeric data such as yield, plant mass, plant counts, and tissue concentration of various nutrients","agronomy, crop science, forage legumes, nutritive value, soil fertility, soil science, winter hardiness, yield components",Jeffrey J. Volenec,,
2579,1004,10.4231/PPKB-VK18,Phosphorus and Potassium Influence on Alfalfa Nutrition,"Data from several studies on the influence of phosphorus and potassium nutrition on alfalfa. It includes numeric data such as yield, plant mass, plant counts, and tissue concentration of various nutrients","agronomy, crop science, forage legumes, nutritive value, soil fertility, soil science, winter hardiness, yield components","Jeffrey J. Volenec, Sylvie M. Brouder, W. K. Berg, S. Lissbrant, B. C. Joern, K. D. Johnson, Suzanne M Cunningham, Sandi L Caldrone",,
32,1029,10.4231/D3TH8BM5D,Controlling the cost and increasing the utility of network measurement infrastructures,"Dissertation on the cost and utility of network measurement infrastructures, including mechanisms for admission control, identifying measurement patterns that will benefit from inference, and selecting vantage points for wide-scale measurement.","computer science, inference, internet",Ethan L Blanton,,
69,1066,10.4231/D3T727G0X,Evaluation of Function Predictions for Moonlighting Proteins,Supplemental datasets used for evaluation of function predictions for moonlighting proteins.,"biochemistry, bioinformatics, molecular biosciences, proteomics","Daisuke Kihara, Ishita K. Khan, Meghana Chitale, Catherine Rayon",,
75,1072,10.4231/D3Z02Z836,Functional enrichment analyses and construction of functional similarity networks with high confidence function prediction by PFP,Supplementary Material for the Paper: Functional similarity network with high confidence protein function prediction by PFP. BMC Bioinformatics. 2010 May 19;11:265. doi: 10.1186/1471-2105-11-265.,"biochemistry, bioinformatics, computational biology / methods, genetic, molecular biosciences, proteins / metabolism","Troy Hawkins, Meghana Chitale, Daisuke Kihara",,
76,1073,10.4231/D3PK0719W,Threading Without Optimizing Weighting Factor for the Scoring Function Proteins,"Supplementary Material for the Paper: Threading Without Optimizing Weighting Factor for the Scoring Function Proteins, in revision (2008). Proteins. 2008 Nov 15;73(3):581-96. doi: 10.1002/prot.22082.","algorithms, biochemistry, bioinformatics, databases, molecular biosciences, protein, proteins / chemistry","David Yifeng, Daisuke Kihara",,
83,1080,10.4231/D37659F6Q,Comparative genomics of small RNAs in bacterial genomes,Supplemental Material for the paper: Comparative genomics of small RNAs in bacterial genomes. OMICS. 2007 Spring;11(1):58-73.,"bacterial, bacterial/genetics, biochemistry, bioinformatics, deinococcus/genetics, escherichiacoli/metabolism, molecular biosciences, multigene family, rna","Stan Luban, Daisuke Kihara",,
84,1081,10.4231/D3BZ61792,Characterization of Local Geometry of Protein Surfaces with the Visibility Criteria,Supplementary material for the paper: Characterization of Local Geometry of Protein Surfaces with the Visibility Criteria. Proteins. 2008 May 1;71(2):670-83.,"argininosuccinate synthase, binding sites, biochemistry, bioinformatics, computer simulation, molecular biosciences, protein structure, sensitivity and specificity, tertiary, tetrahydrofolate dehydrogenase/chemistry","Bin Li, Srinivasan Turuvekere, Manish Agrawal, Daisuke Kihara",,
85,1082,10.4231/D33F4KN2K,Limitations and Potentials of Current Motif Discovery Algorithms,"Supplementary material for the papers: Limitations and Potentials of Current Motif Discovery Algorithms, Nucleic Acids Res. 2005; 33(15): 4899–4913","algorithms, base sequence, binding sites, biochemistry, bioinformatics, computational biology / methods, dna/chemistry, dna/methods, escherichia coli/genetics, factors/metabolism, markov chains, markov chains regulatory sequences, molecular biosciences, regulon, sequence alignment, sequence analysis","Jianjun Hu, Bin Li, Daisuke Kihara",,
104,1101,10.4231/D3WW7702P,InfoSEAD protocol and sample memo,Includes a description of the InfoSEAD protocol and an example of how a document can be analyzed using the protocol.,"assessment, education, information literacy, library science","Ruth Wertz, Michael Fosmire, Senay Purzer, Monica E. Cardella",,
